id,Taxon,Country
bgv006129,SP,ECU
bgv006167,SP,ECU
bgv006183,SP,ECU
bgv006186,SP,ECU
bgv006187,SP,ECU
bgv006188,SP,ECU
bgv006192,SP,ECU
bgv006195,SP,ECU
bgv006196,SP,ECU
bgv006208,SP,ECU
bgv006211,SP,ECU
bgv006282,SP,PER
bgv006327,SP,PER
bgv006329,SP,PER
bgv006332,SP,PER
bgv006333,SP,PER
bgv006335,SP,PER
bgv006336,SP,PER
bgv006337,SP,PER
bgv006339,SP,PER
bgv006340,SP,PER
bgv006341,SP,PER
bgv006343,SP,PER
bgv006347,SP,PER
bgv006348,SP,PER
bgv006349,SP,PER
bgv006352,SP,PER
bgv006353,SP,PER
bgv006354,SP,PER
bgv006355,SP,PER
bgv006356,SP,PER
bgv006357,SP,PER
bgv006363,SP,PER
bgv006368,SP,PER
bgv006370,SP,PER
bgv006398,SP,PER
bgv006406,SP,PER
bgv006413,SP,PER
bgv006426,SP,PER
bgv006452,SP,PER
bgv006454,SP,PER
bgv006457,SP,PER
bgv006458,SP,PER
bgv006459,SP,PER
bgv006461,SP,PER
bgv006462,SP,PER
bgv006464,SP,PER
bgv006465,SP,PER
bgv006466,SP,PER
bgv006467,SP,PER
bgv006468,SP,PER
bgv006469,SP,PER
bgv006470,SP,PER
bgv006471,SP,PER
bgv006472,SP,PER
bgv006473,SP,PER
bgv006474,SP,PER
bgv006476,SP,PER
bgv006477,SP,PER
bgv006478,SP,PER
bgv006485,SP,PER
bgv006492,SP,PER
bgv006493,SP,PER
bgv006498,SP,PER
bgv006499,SP,PER
bgv006500,SP,PER
bgv006504,SP,PER
bgv006508,SP,PER
bgv006510,SP,PER
bgv006514,SP,PER
bgv006515,SP,PER
bgv006608,SP,PER
bgv006609,SP,PER
bgv006638,SP,PER
bgv006640,SP,PER
bgv006642,SP,PER
bgv006645,SP,PER
bgv006657,SP,PER
bgv006660,SP,PER
bgv006661,SP,PER
bgv006662,SP,PER
bgv006690,SP,ECU
bgv006691,SP,ECU
bgv006712,SP,ECU
bgv006778,SP,ECU
bgv007060,SP,ECU
bgv007063,SP,ECU
bgv007065,SP,ECU
bgv007066,SP,ECU
bgv007068,SP,ECU
bgv007069,SP,ECU
bgv007070,SP,ECU
bgv007072,SP,ECU
bgv007073,SP,ECU
bgv007076,SP,ECU
bgv007081,SP,ECU
bgv007085,SP,ECU
bgv007089,SP,ECU
bgv007095,SP,ECU
bgv007100,SP,ECU
bgv007103,SP,ECU
bgv007104,SP,ECU
bgv007105,SP,ECU
bgv007106,SP,ECU
bgv007109,SP,ECU
bgv007111,SP,ECU
bgv007112,SP,ECU
bgv007113,SP,ECU
bgv007118,SP,ECU
bgv007123,SP,ECU
bgv007126,SP,ECU
bgv007135,SP,ECU
bgv007137,SP,ECU
bgv007138,SP,ECU
bgv007145,SP,ECU
bgv007148,SP,ECU
