id,princomp_1,princomp_2,princomp_3,princomp_4,princomp_5
bgv005895,-34.671207,-0.49699846,4.4625354,-3.9290829,0.02191095
bgv005912,-12.061153,-8.328582,-14.3745,-24.2303,4.6352525
bgv006234,-5.277415,-19.623625,-17.461674,-39.230812,9.912685
bgv006235,15.284143,-5.881564,-55.2815,-9.47212,-4.0908155
bgv006327,91.984856,71.81253,8.516048,-6.154553,-2.3602579
bgv006336,58.78486,70.7145,12.90166,-16.8906,107.16932
bgv006347,98.00252,86.21034,10.315738,-24.259243,-43.162846
bgv006353,98.82856,86.52114,10.346041,-24.326687,-43.098644
bgv006370,90.87667,66.7393,0.75701004,9.076463,-9.276131
bgv006454,91.23169,74.69624,10.672899,-11.737675,-5.473088
bgv006457,92.79708,71.7051,11.50573,-6.180029,16.09448
bgv006767,42.85844,-10.646488,-24.770397,35.166206,-2.2555683
bgv006775,75.92494,-64.74267,19.9924,-8.763179,0.60104793
bgv006825,-14.608192,-4.758087,-15.870799,-9.474666,-1.6280332
bgv006852,-1.1101629,-10.791988,-16.108278,-11.71603,-0.91130865
bgv006859,36.842144,-29.70266,-43.18801,-24.961008,1.9050769
bgv006867,16.302969,-5.98428,-43.94673,16.607857,-0.17345048
bgv006904,37.589314,-16.84097,-60.45593,-10.370921,-2.437118
bgv006910,20.65253,-12.255793,-58.49903,-17.376469,-5.933241
bgv006931,-4.582933,-21.212276,-14.023359,-38.88255,10.025466
bgv006934,-6.76087,-20.60214,-14.836259,-39.785606,11.353252
bgv007023,16.176632,-2.2966409,-58.81689,-1.135701,-4.105731
bgv007111,74.04923,-52.07271,7.8525667,-4.5692673,2.803012
bgv007149,79.50478,-64.41697,22.871002,-3.5029588,1.8541373
bgv007151,78.60646,25.408344,-29.711887,63.57203,-5.699289
bgv007152,85.23868,-72.17288,27.602673,-3.681608,1.1674728
bgv007158,94.57924,-65.374504,15.077685,8.395817,-1.1984742
bgv007161,92.877556,-69.297935,19.566181,2.7118335,0.18702555
bgv007169,88.26498,-60.729713,9.156305,9.391734,0.6713555
bgv007181,83.84062,-67.83148,24.539062,-3.3856828,0.87116086
bgv007194,89.27201,-54.26754,5.482129,7.979308,-0.7827946
bgv007198,88.80346,24.380932,16.07323,3.0410542,-1.3748038
bgv007854,-31.347218,1.4452084,5.1738615,-1.3128803,8.107046
bgv007857,-34.802925,1.3730785,4.8498077,1.3286307,-0.41372094
bgv007860,-35.746758,0.011389682,6.130966,0.8133878,-1.6601224
bgv007862,-32.406086,2.5474496,3.6860979,2.4672694,1.4459919
bgv007863,-32.954292,2.476076,4.518397,2.5296426,0.9684563
bgv007864,-35.732838,0.019771865,6.1265426,0.8263986,-1.6809725
bgv007865,-34.48036,1.2029939,4.052937,0.83013105,0.2728129
bgv007867,-35.74093,0.014960618,6.1335144,0.83776385,-1.671552
bgv007870,-33.338337,1.4722934,4.803105,1.117789,0.18633372
bgv007871,-44.026436,-0.47214478,5.788081,1.52416,1.4245944
bgv007872,-35.777073,0.16184944,5.5882587,0.69566447,-0.911563
bgv007875,-49.05719,-1.5733314,6.080245,2.0490844,4.811079
bgv007876,-35.555782,0.20298807,5.040005,0.85899246,0.19674654
bgv007878,-35.165768,1.2635874,4.334217,1.2889807,0.03416362
bgv007901,-34.657238,-0.22932963,7.0683465,-2.3365963,-5.0027456
bgv007902,-34.144672,0.24337116,6.648869,-1.1797694,-4.08633
bgv007908,-57.599472,-2.7068954,13.088599,-1.9810697,1.2283887
bgv007909,-33.82353,0.4600018,7.9984255,-0.20371617,-5.1240997
bgv007910,-33.308502,0.007826744,7.7448516,-1.5862522,-5.9490404
bgv007911,-33.351696,0.27365583,8.06792,-1.3420745,-5.614621
bgv007918,-34.39933,0.33502024,8.552255,-0.08991088,-6.109916
bgv007921,-34.540222,0.15647818,8.769693,0.20502064,-5.9327855
bgv007927,-22.555103,1.0594391,11.12306,4.547352,-8.186314
bgv007931,-14.61809,0.030756874,12.540193,3.102995,-11.157629
bgv007933,-25.064129,-0.6524948,13.467119,3.3353028,-11.131313
bgv007934,-22.14006,-1.0774927,12.721433,3.8188705,-11.676714
bgv007936,-35.712196,0.2914906,5.904758,1.0539365,-1.2011464
bgv007981,-7.8155656,17.446863,1.3321091,5.388862,8.502321
bgv007989,-5.687821,8.675909,-8.313527,16.53429,11.266414
bgv008036,-29.600822,4.794248,4.78124,3.9182034,0.38025835
bgv008037,-23.242624,5.169936,3.2521026,11.52395,5.104589
bgv008041,-20.477549,0.8302706,-1.8779634,8.263591,3.7438102
bgv008051,-32.47199,-0.3403708,7.229946,-1.4122852,-5.8030953
bgv008058,-5.1225014,-5.2985134,-29.884825,-4.452732,-7.6071134
bgv008061,-26.869219,5.3907175,0.3756189,-2.0452516,4.2585335
bgv008065,-31.316435,1.425006,1.4149556,0.6089926,1.0353281
bgv008067,-32.39585,0.6098367,6.953549,2.016324,-3.6032083
bgv008070,-31.388243,0.7141108,7.9719586,-1.7057711,-5.756195
bgv008077,-22.35658,7.4981503,3.7707813,2.752185,1.3229482
bgv008095,-5.0101266,18.33948,-4.855956,6.01752,6.337804
bgv008098,-23.672407,0.0077172853,-4.987707,-3.481815,3.8302455
bgv008100,-25.639397,7.079516,-0.058796477,0.92391515,5.232745
bgv008106,-34.515514,0.2555022,4.9883327,1.6725168,-1.2686895
bgv008108,-23.52951,0.3926406,8.664353,2.806603,-4.6279984
bgv008218,-29.550894,-0.291873,6.240515,1.4731759,-2.0569627
bgv008219,-32.189987,0.24315795,6.6093683,0.53513515,-3.8595178
bgv008223,-34.454197,0.68441576,7.2289386,1.0084268,-3.7471113
bgv008224,-34.60857,0.31343728,5.698716,1.6784792,-0.40904972
bgv008225,-1.4807765,11.004282,-0.3053316,-1.5448853,-7.1412096
bgv008345,-27.344328,0.04430322,0.8260505,0.012250832,-4.574001
bgv008348,-29.076614,-0.70631164,6.698613,1.1172278,-2.6092262
bgv012615,34.550095,9.538236,-21.86723,62.7396,16.532352
bgv012625,1.7085711,18.982372,-5.548576,17.430765,6.2550793
bgv012626,22.964712,23.443533,13.835343,-0.8932075,8.268186
bgv012627,-26.878899,-0.9057219,6.053573,3.084348,-2.864509
bgv012640,-25.593412,4.9576125,-2.6679711,9.784344,0.38362882
bgv013134,-32.296646,-0.03171376,7.218953,-2.0559247,-4.814331
bgv013161,-19.59581,10.707601,0.73615813,3.3195834,7.5652127
bgv013175,-26.751907,-0.086817876,7.8425965,1.7815514,-5.1133227
bgv013945,-17.361954,4.942486,-2.3112957,19.768038,4.5300612
bgv015726,-26.288973,-1.8558389,-2.2378998,-1.0173622,1.8332611
bgv015734,-26.563463,2.7382898,-1.9894226,-0.87492937,4.3890824
la1712,-26.076954,-2.9240878,0.8226366,-1.8131262,-1.4056575
